央视频道,#genre#
CCTV-1,http://121.23.184.27:808/hls/1/index.m3u8
CCTV-2,http://121.23.184.27:808/hls/2/index.m3u8
CCTV-3,http://121.23.184.27:808/hls/3/index.m3u8
CCTV-4,http://121.23.184.27:808/hls/4/index.m3u8
CCTV-5,http://121.23.184.27:808/hls/5/index.m3u8
CCTV-6,http://121.23.184.27:808/hls/6/index.m3u8
CCTV-7,http://121.23.184.27:808/hls/7/index.m3u8
CCTV-8,http://121.23.184.27:808/hls/8/index.m3u8
CCTV-9,http://121.23.184.27:808/hls/9/index.m3u8
CCTV-10,http://121.23.184.27:808/hls/10/index.m3u8
CCTV-11,http://121.23.184.27:808/hls/11/index.m3u8
CCTV-12,http://121.23.184.27:808/hls/12/index.m3u8
CCTV-13,http://121.23.184.27:808/hls/13/index.m3u8
CCTV-14,http://121.23.184.27:808/hls/14/index.m3u8
CCTV-15,http://121.23.184.27:808/hls/15/index.m3u8
CCTV-1,http://221.1.210.106:8053/tsfile/live/0001_1.m3u8
CCTV-2,http://221.1.210.106:8053/tsfile/live/0002_1.m3u8
CCTV-3,http://221.1.210.106:8053/tsfile/live/0003_1.m3u8
CCTV-4,http://221.1.210.106:8053/tsfile/live/0004_1.m3u8
CCTV-5,http://221.1.210.106:8053/tsfile/live/0005_1.m3u8
CCTV-6,http://221.1.210.106:8053/tsfile/live/0006_1.m3u8
CCTV-7,http://221.1.210.106:8053/tsfile/live/0007_1.m3u8
CCTV-8,http://221.1.210.106:8053/tsfile/live/0008_1.m3u8
CCTV-9,http://221.1.210.106:8053/tsfile/live/0009_1.m3u8
CCTV-10,http://221.1.210.106:8053/tsfile/live/0010_1.m3u8
CCTV-11,http://221.1.210.106:8053/tsfile/live/0011_1.m3u8
CCTV-12,http://221.1.210.106:8053/tsfile/live/0012_1.m3u8
CCTV-13,http://221.1.210.106:8053/tsfile/live/0013_1.m3u8
CCTV-14,http://221.1.210.106:8053/tsfile/live/0014_1.m3u8
CCTV-15,http://221.1.210.106:8053/tsfile/live/0015_1.m3u8
